date,price,ma_200,simplified_mvrv,mvrv_z_score,market_cap,hash_rate,rhodl_proxy,fear_greed_index
2025-02-04,101466.8606657039,,,,1994234631187.5,703987484.6980155,,72
2025-02-04,101466.8606657039,,,,1960749008968.75,703987484.6980155,,72
2025-02-04,101466.8606657039,,,,1966565442021.875,703987484.6980155,,72
2025-02-04,101466.8606657039,,,,1959578373531.25,703987484.6980155,,72
2025-02-05,98118.43921664466,,,,1946367808896.875,773848838.1413299,,54
2025-02-05,98118.43921664466,,,,1934247215590.625,773848838.1413299,,54
2025-02-05,98118.43921664466,,,,1949339406150.0,773848838.1413299,,54
2025-02-05,98118.43921664466,,,,1922254520046.875,773848838.1413299,,54
2025-02-05,98118.43921664466,,,,1909439932881.25,773848838.1413299,,54
2025-02-06,96582.88682919052,,,,1936781171196.875,779222788.4062003,,49
2025-02-06,96582.88682919052,,,,1946442868487.5,779222788.4062003,,49
2025-02-06,96582.88682919052,,,,1949643175109.375,779222788.4062003,,49
2025-02-06,96582.88682919052,,,,1912627533540.625,779222788.4062003,,49
2025-02-06,96582.88682919052,,,,1916878206590.625,779222788.4062003,,49
2025-02-07,96635.41875332211,,,,1936608947481.25,929693395.8225701,,44
2025-02-07,96635.41875332211,,,,1920761712750.0,929693395.8225701,,44
2025-02-07,96635.41875332211,,,,1942633326218.75,929693395.8225701,,44
2025-02-07,96635.41875332211,,,,1940660714278.125,929693395.8225701,,44
2025-02-07,96635.41875332211,,,,1908619078537.5,929693395.8225701,,44
2025-02-08,96558.4563096667,,,,1915804003631.25,859832042.3792553,,44
2025-02-08,96558.4563096667,,,,1907844880987.5,859832042.3792553,,44
2025-02-08,96558.4563096667,,,,1907259261206.25,859832042.3792553,,44
2025-02-08,96558.4563096667,,,,1907605248209.375,859832042.3792553,,44
2025-02-08,96558.4563096667,,,,1911994851812.5,859832042.3792553,,44
2025-02-08,96558.4563096667,,,,1917454870171.875,859832042.3792553,,44
2025-02-09,96558.23762501091,,,,1924718725884.375,795293751.4100475,,46
2025-02-09,96558.23762501091,,,,1920168788509.375,795293751.4100475,,46
2025-02-09,96558.23762501091,,,,1906163709537.5,795293751.4100475,,46
2025-02-09,96558.23762501091,,,,1908491910978.125,795293751.4100475,,46
2025-02-10,96548.57865379585,,,,1896252613334.375,788864727.616627,,43
2025-02-10,96548.57865379585,,,,1927937632121.875,788864727.616627,,43
2025-02-10,96548.57865379585,,,,1940335752293.75,788864727.616627,,43
2025-02-10,96548.57865379585,,,,1934854402500.0,788864727.616627,,43
2025-02-10,96548.57865379585,,,,1932782181000.0,788864727.616627,,43
2025-02-11,97399.98161383197,,,,1949898301312.5,703735440.4637535,,47
2025-02-11,97399.98161383197,,,,1943346182625.0,703735440.4637535,,47
2025-02-11,97399.98161383197,,,,1922858823881.25,703735440.4637535,,47
2025-02-11,97399.98161383197,,,,1900170615021.875,703735440.4637535,,47
2025-02-12,95739.97737079239,,,,1900377832271.875,754813012.7554775,,46
2025-02-12,95739.97737079239,,,,1909327064681.25,754813012.7554775,,46
2025-02-12,95739.97737079239,,,,1880671670475.0,754813012.7554775,,46
2025-02-12,95739.97737079239,,,,1923915284259.375,754813012.7554775,,46
2025-02-13,97836.18856127483,,,,1938038978218.75,896695158.0102665,,50
2025-02-13,97836.18856127483,,,,1916222428900.0,896695158.0102665,,50
2025-02-13,97836.18856127483,,,,1910819639818.75,896695158.0102665,,50
2025-02-13,97836.18856127483,,,,1902562183150.0,896695158.0102665,,50
2025-02-13,97836.18856127483,,,,1899042540975.0,896695158.0102665,,50
2025-02-14,96561.6639990985,,,,1919252088687.5,862643443.1491172,,48
2025-02-14,96561.6639990985,,,,1922393358081.25,862643443.1491172,,48
2025-02-14,96561.6639990985,,,,1926228500600.0,862643443.1491172,,48
2025-02-14,96561.6639990985,,,,1920111934043.75,862643443.1491172,,48
2025-02-14,96561.6639990985,,,,1948588691237.5,862643443.1491172,,48
2025-02-14,96561.6639990985,,,,1930894733750.0,862643443.1491172,,48
2025-02-15,97488.48148536457,,,,1938119973900.0,908045729.6306497,,50
2025-02-15,97488.48148536457,,,,1933272119931.25,908045729.6306497,,50
2025-02-15,97488.48148536457,,,,1939030720115.625,908045729.6306497,,50
2025-02-15,97488.48148536457,,,,1931209109756.25,908045729.6306497,,50
2025-02-15,97488.48148536457,,,,1936352879278.125,908045729.6306497,,50
2025-02-16,97569.95169430465,,,,1935628513087.5,856968157.3389257,,54
2025-02-16,97569.95169430465,,,,1931077907118.75,856968157.3389257,,54
2025-02-16,97569.95169430465,,,,1929560503584.375,856968157.3389257,,54
2025-02-16,97569.95169430465,,,,1920014170868.75,856968157.3389257,,54
2025-02-16,97569.95169430465,,,,1926783686100.0,856968157.3389257,,54
2025-02-17,96149.3484548204,,,,1909881715281.25,777514155.996244,,51
2025-02-17,96149.3484548204,,,,1911338009100.0,777514155.996244,,51
2025-02-17,96149.3484548204,,,,1925562007031.25,777514155.996244,,51
2025-02-17,96149.3484548204,,,,1900075262300.0,777514155.996244,,51
2025-02-18,95776.15723852723,,,,1899311041250.0,794540013.4268184,,47
2025-02-18,95776.15723852723,,,,1899260544837.5,794540013.4268184,,47
2025-02-18,95776.15723852723,,,,1903036462243.75,794540013.4268184,,47
2025-02-18,95776.15723852723,,,,1881256604600.0,794540013.4268184,,47
2025-02-18,95776.15723852723,,,,1870975718768.75,794540013.4268184,,47
2025-02-19,95495.89153299287,,,,1891821967750.0,715086012.0841366,,44
2025-02-19,95495.89153299287,,,,1901426869800.0,715086012.0841366,,44
2025-02-19,95495.89153299287,,,,1915334202250.0,715086012.0841366,,44
2025-02-19,95495.89153299287,,,,1914054533625.0,715086012.0841366,,44
2025-02-20,96554.87156259285,,,,1923620023525.0,737787155.324903,,49
2025-02-20,96554.87156259285,,,,1924184267812.5,737787155.324903,,49
2025-02-20,96554.87156259285,,,,1940471189575.0,737787155.324903,,49
2025-02-20,96554.87156259285,,,,1955291073287.5,737787155.324903,,49
2025-02-20,96554.87156259285,,,,1952425401912.5,737787155.324903,,49
2025-02-21,98384.31738240314,,,,1949619184668.75,732111869.5147113,,55
2025-02-21,98384.31738240314,,,,1953792115200.0,732111869.5147113,,55
2025-02-21,98384.31738240314,,,,1947139382718.75,732111869.5147113,,55
2025-02-21,98384.31738240314,,,,1894764631662.5,732111869.5147113,,55
2025-02-22,96135.15541305285,,,,1911666604718.75,788864727.616627,,49
2025-02-22,96135.15541305285,,,,1915740296500.0,788864727.616627,,49
2025-02-22,96135.15541305285,,,,1923819215806.25,788864727.616627,,49
2025-02-22,96135.15541305285,,,,1920100692737.5,788864727.616627,,49
2025-02-22,96135.15541305285,,,,1918404575756.25,788864727.616627,,49
2025-02-23,96564.15414290235,,,,1911037648950.0,728533880.978175,,50
2025-02-23,96564.15414290235,,,,1908627663331.25,728533880.978175,,50
2025-02-23,96564.15414290235,,,,1891525004950.0,728533880.978175,,50
2025-02-23,96564.15414290235,,,,1900992014631.25,728533880.978175,,50
2025-02-24,96327.46309127835,,,,1903102805175.0,714530229.8374169,,49
2025-02-24,96327.46309127835,,,,1908386162593.75,714530229.8374169,,49
2025-02-24,96327.46309127835,,,,1895387681362.5,714530229.8374169,,49
2025-02-24,96327.46309127835,,,,1872573917037.5,714530229.8374169,,49
2025-02-25,91396.76686930266,,,,1825588751600.0,807968798.3546175,,25
2025-02-25,91396.76686930266,,,,1804380858031.25,807968798.3546175,,25
2025-02-25,91396.76686930266,,,,1774784855390.625,807968798.3546175,,25
2025-02-25,91396.76686930266,,,,1721294646640.625,807968798.3546175,,25
2025-02-25,91396.76686930266,,,,1757510681453.125,807968798.3546175,,25
2025-02-26,88755.7693356979,,,,1763229792296.875,862932662.1882651,,21
2025-02-26,88755.7693356979,,,,1764725323562.5,862932662.1882651,,21
2025-02-26,88755.7693356979,,,,1773180974031.25,862932662.1882651,,21
2025-02-26,88755.7693356979,,,,1740351782968.75,862932662.1882651,,21
2025-02-26,88755.7693356979,,,,1668874494546.875,862932662.1882651,,21
2025-02-27,83900.11496524839,,,,1685023712109.375,824457957.5047117,,10
2025-02-27,83900.11496524839,,,,1693439485890.625,824457957.5047117,,10
2025-02-27,83900.11496524839,,,,1712880723609.375,824457957.5047117,,10
